Name,Type,min,max,procoder,process
Aileron,c,-15.5,15.5,0,y
Aileron00,c,-15.5,15.5,1,y
Aileron01,c,-15.5,15.5,2,y
Aileron02,c,-15.5,15.5,3,y
Aileron03,c,-15.5,15.5,4,y
AOA_True00,c,-25,25,0,y
AOA_True01,c,-25,25,1,y
AOA_True02,c,-25,25,2,y
AOA_True03,c,-25,25,3,y
AOA00,c,-25,25,0,y
AOA01,c,-25,25,1,y
AOA02,c,-25,25,2,y
AOA03,c,-25,25,3,y
ARM,b,0,1,0,y
ARM00,b,0,1,1,y
ARM01,b,0,1,2,y
ARM02,b,0,1,3,y
ARM03,b,0,1,4,y
BANK00,c,-180,180,0,y
BANK01,c,-180,180,1,y
BANK02,c,-180,180,2,y
BANK03,c,-180,180,3,y
BANK04,c,-180,180,4,y
BANK05,c,-180,180,5,y
BANK06,c,-180,180,6,y
BANK07,c,-180,180,7,y
BaroDampedAltitude,c,,,0,n
BNX00,c,,,0,n
BNX01,c,,,1,n
BNX02,c,,,2,n
BNX03,c,,,3,n
BNX04,c,,,4,n
BNX05,c,,,5,n
BNX06,c,,,6,n
BNX07,c,,,7,n
BNY00,c,,,0,n
BNY01,c,,,1,n
BNY02,c,,,2,n
BNY03,c,,,3,n
BNY04,c,,,4,n
BNY05,c,,,5,n
BNY06,c,,,6,n
BNY07,c,,,7,n
BNZ00,c,,,0,n
BNZ01,c,,,1,n
BNZ02,c,,,2,n
BNZ03,c,,,3,n
BNZ04,c,,,4,n
BNZ05,c,,,5,n
BNZ06,c,,,6,n
BNZ07,c,,,7,n
BUF,b,0,1,0,y
BUF00,b,0,1,1,y
BUF01,b,0,1,2,y
BUF02,b,0,1,3,y
BUF03,b,0,1,4,y
Canopy,b,0,1,0,y
Canopy00,b,0,1,1,y
Canopy01,b,0,1,2,y
Canopy02,b,0,1,3,y
Canopy03,b,0,1,4,y
CAU,b,0,1,0,y
CAU00,b,0,1,1,y
CAU01,b,0,1,2,y
CAU02,b,0,1,3,y
CAU03,b,0,1,4,y
Day,c,,,0,n
ECA,b,0,1,0,y
ECA00,b,0,1,1,y
ECA01,b,0,1,2,y
ECA02,b,0,1,3,y
ECA03,b,0,1,4,y
EGT,c,0,1350,0,y
EGT_D,b,0,1,0,y
EGT_D00,b,0,1,1,y
EGT_D01,b,0,1,2,y
EGT_D02,b,0,1,3,y
EGT_D03,b,0,1,4,y
EGT00,c,0,1350,1,y
EGT01,c,0,1350,2,y
EGT02,c,0,1350,3,y
EGT03,c,0,1350,4,y
EGT04,c,0,1350,5,y
EGT05,c,0,1350,6,y
EGT06,c,0,1350,7,y
EGT07,c,0,1350,8,n
ENZ00,c,,,0,n
ENZ01,c,,,1,n
ENZ02,c,,,2,n
ENZ03,c,,,3,n
ENZ04,c,,,4,n
ENZ05,c,,,5,n
ENZ06,c,,,6,n
ENZ07,c,,,7,n
FF,c,0,116.66,0,y
FF00,c,0,116.66,1,y
FF01,c,0,116.66,2,y
FIRE,b,0,1,0,y
FIRE00,b,0,1,1,y
FIRE01,b,0,1,2,y
FIRE02,b,0,1,3,y
FIRE03,b,0,1,4,y
FLAP,c,-50,0,0,y
FLAP00,c,-50,0,1,y
FLAP01,c,-50,0,2,y
Flight#,c,,,0,n
FLIGHT#,c,,,0,n
FW,c,0,3306,0,y
Heading00,c,0,360,0,y
Heading01,c,0,360,1,y
Heading02,c,0,360,2,y
Heading03,c,0,360,3,y
Hp,c,-1000,53000,0,y
Hp00,c,-1000,53000,1,y
Hp01,c,-1000,53000,2,y
Hp02,c,-1000,53000,3,y
Hp03,c,-1000,53000,4,y
IAS,c,80,600,0,y
IAS00,c,80,600,1,y
IAS01,c,80,600,2,y
IAS02,c,80,600,3,y
IAS03,c,80,600,4,y
LAT,c,,,0,n
LB,b,0,1,0,y
LB00,b,0,1,1,y
LB01,b,0,1,2,y
LB02,b,0,1,3,y
LB03,b,0,1,4,y
LGD,b,0,1,0,y
LGD00,b,0,1,1,y
LGD01,b,0,1,2,y
LGD02,b,0,1,3,y
LGD03,b,0,1,4,y
LGU,b,0,1,0,y
LGU00,b,0,1,1,y
LGU01,b,0,1,2,y
LGU02,b,0,1,3,y
LGU03,b,0,1,4,y
LONG,c,,,0,n
MACH,c,,,0,y
MACH00,c,,,1,y
MACH01,c,,,2,y
NH,c,0,115,0,y
NH00,c,0,115,1,y
NH01,c,0,115,2,y
NH02,c,0,115,3,y
NH03,c,0,115,4,y
NH04,c,0,115,6,y
NH05,c,0,115,7,y
NH06,c,0,115,8,y
NH07,c,0,115,9,y
NL,c,0,120,0,y
NL00,c,0,120,1,y
NL01,c,0,120,2,y
NL02,c,0,120,3,y
NL03,c,0,120,4,y
NL04,c,0,120,6,y
